mpi_world_size,global_train_size,local_sizes,train_loop_time,batch_size,hidden,lr,activation,seed,sync_every,epochs,total_iters,train_time,rmse_train,rmse_test,run_training_time,file
8,25923545,3240444,67.9855,2048,64,0.002,relu,123,0,1,1583,67.987,16.253561,16.251801,83.7082,rank0_relu2048_epoch1.log
8,25923545,3240444,63.4918,128,64,0.002,relu,123,0,1,25316,63.493,16.465376,16.461931,76.8835,rank0_relu128_epoch1.log
12,25923540,2160295,52.9933,1024,64,0.002,relu,123,0,1,2110,52.995,18.110921,18.086124,67.0841,rank0_relu1024_epoch1_process12.log
16,25923545,1620222,121.6935,1024,64,0.002,relu,123,0,2,3166,121.700,4.102503,4.092289,136.6759,rank0_relu1024_epoch2_process16.log
16,25923545,1620222,356.0124,1024,64,0.002,relu,123,0,5,7915,356.024,3.833969,3.824173,369.3965,rank0_relu1024_epoch5_process16.log
8,25923545,3240444,85.5563,512,64,0.002,tanh,123,0,1,6329,85.576,17.809660,17.807883,104.9865,rank0_tanh512_epoch1.log
16,25923545,1620222,54.4048,1024,64,0.002,relu,123,0,1,1583,54.432,18.830995,18.819300,70.1238,rank0_relu1024_epoch1_process16.log
8,25923545,3240444,93.5340,256,64,0.002,tanh,123,0,1,12658,93.537,17.544658,17.542964,111.3963,rank0_tanh256_epoch1.log
8,25923545,3240444,89.9634,2048,64,0.002,tanh,123,0,1,1583,89.965,18.143578,18.142074,108.0294,rank0_tanh2048_epoch1.log
8,25923545,3240444,143.4612,2048,64,0.002,sigmoid,123,0,1,1583,143.465,7.313906,7.321268,166.1092,rank0_sigmoid2048_epoch1.log
8,25923545,3240444,146.8688,512,64,0.002,sigmoid,123,0,1,6329,146.871,7.553946,7.560539,171.5847,rank0_sigmoid512_epoch1.log
8,25923545,3240444,146.8923,256,64,0.002,sigmoid,123,0,1,12658,146.894,7.734345,7.740521,170.1526,rank0_sigmoid256_epoch1.log
8,25923545,3240444,85.3933,1024,64,0.002,relu,123,1000,1,3165,85.395,3.961258,3.968538,104.0165,rank0_relu1024_epoch1_syncevery1000.log
8,25923545,3240444,142.0473,1024,64,0.002,sigmoid,123,0,1,3165,142.051,7.440675,7.447601,165.1613,rank0_sigmoid1024_epoch1.log
8,25923545,3240444,96.9161,1024,64,0.002,tanh,123,0,1,3165,96.918,17.989523,17.987865,117.2133,rank0_tanh1024_epoch1.log
8,25923545,3240444,159.8392,1024,64,0.002,tanh,123,0,3,9495,159.850,3.654242,3.663107,178.6667,rank0_tanh1024_epoch3.log
8,25923545,3240444,254.5867,1024,64,0.002,sigmoid,123,0,3,9495,254.590,3.827903,3.836547,279.6447,rank0_sigmoid1024_epoch3.log
8,25923545,3240444,145.8775,128,64,0.002,sigmoid,123,0,1,25316,145.880,8.028142,8.033704,169.6367,rank0_sigmoid128_epoch1.log
8,25923545,3240444,484.7968,1024,64,0.002,tanh,123,0,5,15825,484.800,3.555706,3.564052,502.3659,rank0_tanh1024_epoch5.log
8,25923545,3240444,418.9945,1024,64,0.002,sigmoid,123,0,5,15825,418.999,3.755140,3.763639,442.7666,rank0_sigmoid1024_epoch5.log
8,25923545,3240444,68.5522,256,64,0.002,relu,123,0,1,12658,68.555,16.367395,16.364344,83.5315,rank0_relu256_epoch1.log
8,25923545,3240444,67.4855,1024,64,0.002,relu,123,0,1,3165,67.488,16.367756,16.365548,85.3176,rank0_relu1024_epoch1.log
8,25923545,3240444,131.8010,1024,64,0.002,relu,123,0,3,9495,131.808,3.772928,3.780973,147.3362,rank0_relu1024_epoch3.log
8,25923545,3240444,70.1331,512,64,0.002,relu,123,0,1,6329,70.134,16.380898,16.378312,84.7269,rank0_relu512_epoch1.log
8,25923545,3240444,223.4623,1024,96,0.002,relu,123,0,1,3165,223.465,17.486019,17.482813,267.3359,rank0_relu1024_epoch1_hidden96.log
8,25923545,3240444,96.7935,128,64,0.002,tanh,123,0,1,25316,96.798,17.102208,17.100584,116.2536,rank0_tanh128_epoch1.log
8,25923545,3240444,224.8233,1024,64,0.002,relu,123,0,5,15825,224.827,3.713229,3.721180,240.1412,rank0_relu1024_epoch5.log
