iter,Rtheta
100,80.92873381650098
200,59.12159060613232
300,54.45348713570158
400,49.94447493848962
500,48.2285475334681
600,47.2510607155238
700,46.26635469852088
800,45.477821231405436
900,44.839251127776926
1000,44.31648537126779
1100,44.04492335830971
1200,43.30499056850971
1300,42.88646632343253
1400,42.429408301304136
1500,42.20798142608626
1600,41.65837559165447
1700,41.300709802948326
1800,40.968997275108954
1900,41.20438790755361
2000,40.25427927188635
2100,40.03829792126724
2200,39.472987612853515
2300,38.98970141647025
2400,39.011201292960266
2500,38.30368306977638
2600,37.981441883001224
2700,37.57549861617287
2800,37.302974001104275
2900,36.88146518280196
3000,36.584760986706044
3100,36.28469040563358
3200,36.01500205200211
3300,35.87979433367157
3400,35.72314666531976
3500,35.41903681547276
3600,34.84130062666144
3700,34.60229845221311
3800,34.399580670809584
3900,34.120116378528756
4000,33.919528395156746
4100,33.91229121106785
